,Q (m3/s),Mod_load(t),Obs_load(t)
2010/11/15,4.177476603,27.15856624,65.41760
2010/11/16,8.919757105,80.2740812,177.37740
2010/11/17,4.258197004,26.51924541,54.33430
2010/11/18,2.491298767,15.91630271,83.25770
2010/11/19,11.68694062,89.53570345,201.57160
2010/11/20,100.7460405,780.9635878,2870.69420
2010/11/21,102.9422512,703.6061131,2110.14150
2010/11/22,94.83083452,712.7197455,648.48130
2010/11/23,72.38860457,496.4652273,315.95710
2010/11/24,82.51662231,554.000131,522.28610
2010/11/25,36.07073129,202.1692072,72.56950
2010/11/26,22.58429774,118.4770107,18.21390
2010/11/27,13.72164967,63.70986687,6.31310
2010/11/28,8.948371575,38.20752762,3.64150
2010/11/29,6.449486076,26.17199875,20.76180
2010/11/30,38.39406917,301.1252735,1045.26980
2010/12/1,178.09224,1231.503101,1205.91050
2010/12/2,52.62636046,299.0928561,411.73940
2010/12/3,377.6594169,3470.945097,5626.73400
2010/12/4,76.84171263,545.3387848,950.58610
2010/12/5,50.08190549,347.5312814,185.86550
2010/12/6,24.29201168,130.4896113,166.41400
2010/12/7,55.84384787,371.6803518,296.88450
2010/12/8,34.01186322,167.1627299,50.62910
2010/12/9,23.65823461,106.5556942,16.09120
2010/12/10,16.02466821,66.8311743,9.30100
2010/12/11,11.23798657,44.62728826,16.79110
2010/12/12,8.64873201,48.71177375,60.60930
2010/12/13,13.91724429,90.66045478,47.36280
2010/12/14,13.06281526,61.23487592,12.69050
2010/12/15,10.92264345,48.39742121,10.25120
2010/12/16,7.992709649,33.59192132,4.65360
2010/12/17,6.051985976,24.60499103,3.07490
2010/12/18,4.823794462,19.35410348,2.63190
2010/12/19,4.114730967,16.40818144,2.79980
2010/12/20,4.596098614,72.50593056,21.48370
2010/12/21,9.213698412,66.43453558,48.00360
2010/12/22,9.064959874,42.8524538,40.38820
2010/12/23,9.84425887,40.80190899,59.63440
2010/12/24,90.9878192,653.4111394,829.88010
2010/12/25,183.5179319,1336.392939,1319.18900
2010/12/26,516.5734865,5278.415824,1715.68750
2010/12/27,131.2870677,1090.08708,634.37190
2010/12/28,138.2689106,1148.300668,557.78480
2010/12/29,52.97903682,340.522202,228.02170
2010/12/30,169.631528,1289.327387,500.07240
2010/12/31,49.38113277,292.2563711,420.11270
2011/1/1,33.57613933,188.4396987,110.83030
2011/1/2,18.84539638,86.90092112,106.16200
2011/1/3,39.28587153,283.5632505,200.58900
2011/1/4,35.86421392,205.9384395,236.45390
2011/1/5,40.48668996,238.6229818,87.57990
2011/1/6,35.3419985,200.4413419,216.97730
2011/1/7,76.79634349,497.1569884,231.06820
2011/1/8,36.69760285,182.0678538,68.52290
2011/1/9,25.04074461,113.5362191,32.15300
2011/1/10,16.79233698,69.83109618,23.41370
2011/1/11,11.85117511,46.8951542,18.03380
2011/1/12,8.943636215,40.0249594,24.28880
2011/1/13,11.43529201,66.18283871,112.11720
2011/1/14,12.20737328,55.55672828,67.13050
2011/1/15,10.86815008,41.11374726,32.35730
2011/1/16,8.589397496,32.09122368,27.51760
2011/1/17,6.652728496,25.10308208,23.76290
2011/1/18,5.346885681,20.46480842,27.07670
2011/1/19,19.35882239,202.6016212,58.86810
2011/1/20,15.11360532,96.18088815,16.04360
2011/1/21,15.8543535,81.57197592,12.40290
2011/1/22,10.14518249,46.39841788,12.10840
2011/1/23,7.141076022,30.28398167,11.68020
2011/1/24,5.3969524,22.0478135,10.74210
2011/1/25,4.342594,17.47470269,10.48260
2011/1/26,3.66558331,14.70407518,10.13940
2011/1/27,3.225686926,12.96740525,10.12150
